1 - FELIPE,6,38,1
2 - NATALIE,51,2300,58
3 - LUIZA,46,1282,33
4 - MIGUEL,32,1614,41
5 - VERÔNICA,37,1409,36
6 - DÉCIO,20,950,24
7 - FALCÃO,30,1203,31
8 - JOYCE,3,21,1
9 - CLARA,44,901,23
10 - ÍCARO,24,811,21
11 - FUNCIONÁRIA,1,37,1
12 - OLGA,8,424,11
13 - ANDRÉ,53,1251,32
14 - PONTOCOM,23,1039,26
15 - GREGORY,16,237,6
16 - ADELINO,2,50,2
17 - RUBENS,32,1963,50
18 - HOMEM ALEATÓRIO,1,18,1
19 - CABO,3,57,2
20 - TAVARES,4,215,6
21 - NELSON,6,164,5
22 - SENADOR 1,1,49,2
23 - SENADOR 2,1,43,2
24 - SEGURANÇA 1,20,427,11
25 - TORQUATO,4,107,3
26 - JOEL,25,1317,33
27 - SEGURANÇA 2,15,334,9
28 - FUNCIONÁRIO 1,1,6,1
29 - FUNCIONÁRIO 2,1,45,2
30 - ÍNDIOS,3,74,2
31 - PAYALL,3,60,2
32 - MENINAS,1,6,1
33 - ROSA,7,127,4
34 - DALVA,1,34,1
35 - GABI,5,43,2
36 - MÉDICO,2,28,1
